SampleID	Actinomycetota	Bacteroidota	Campylobacterota	Candidatus_Melainabacteria	Candidatus_Saccharibacteria	Chloroflexota	Cyanobacteriota	Firmicutes	Fusobacteriota	Lentisphaerota	Pseudomonadota	Synergistota	Thermodesulfobacteriota	Unclassified	UNCLASSIFIED	Verrucomicrobiota
BMT131D14	2040529	8023010	0	0	0	0	0	16487284	0	0	0	617337	1572535	0	6875361	0
BMT131D22	1002253	170665	0	0	3012	0	0	25339037	0	0	0	57444	402425	0	3998245	0
BMT131D267	292308	2563245	0	213173	4466	0	0	41084499	0	0	626988	64554	47040	0	15312295	1357620
BMT131D7	1092432	3394770	0	0	4039	0	0	24184662	0	0	8958	93139	1139832	0	6007257	0
BMT132D3	947301	2172462	0	0	3138	0	0	22331716	1064234	0	45374	0	49542	10543	4928411	191010
BMT132PRE	478964	38210385	0	0	1632	0	0	13068155	4017167	20831	1784059	11915	591044	10608	7456040	22666
BMT133D-6	1146494	191207	0	0	0	0	0	21239878	0	0	118595	0	193892	0	6383336	0
BMT133D1	4269050	147862	0	0	0	0	0	30486571	0	0	15425	0	219385	0	13792448	10345
BMT133D15	2719785	53516	0	0	0	0	0	33256213	0	0	0	0	0	0	6491390	0
BMT133D26	1790441	720156	0	0	0	0	0	29885927	0	0	0	0	0	12246	4744585	0
BMT134D15	2743678	6352031	0	0	0	0	0	31360554	0	0	0	0	781689	0	8227967	10664604
BMT134D186	1282769	17399614	0	0	0	0	0	19550643	0	0	4145206	1280595	679168	13970	9231104	9624
BMT134D2	100214	14086162	0	0	0	0	0	20400861	0	0	7880	15460	26055	0	7076953	0
BMT134D8	590409	6044917	0	0	0	0	0	18886239	0	0	0	0	318855	14469	5157141	22845985
BMT134pre	3448877	10519679	0	0	0	15312	0	27886912	0	0	2807543	13323	460089	13138	10906660	491793
BMT138D5	630925	14951535	0	10355	0	0	0	20442881	0	0	27351	0	12889	0	6323569	0
BMT138pre	5812842	2678219	0	0	2668	0	0	57386339	0	0	139777	0	15644	0	12999768	23594
BMT140D13	511019	15519	0	0	0	0	0	17129317	0	0	0	0	0	0	3475135	0
BMT140D14	8131359	16929169	9476	0	0	0	0	31582757	0	0	0	0	0	0	7606609	0
BMT140D62	14568570	1665774	0	0	0	0	0	12623372	0	0	5481921	0	0	0	10202943	0
BMT140D75	11025715	4266998	0	0	0	0	0	27034762	0	0	18199537	0	0	0	8887641	0
BMT140D87	2205873	30373561	34969	0	29467	0	0	29455035	243387	0	19958	0	0	14504	6041323	19928857
BMT140pre	3781084	2083943	0	0	9365	0	0	61597163	0	0	45885	0	31666	0	9453798	0
BMT141D14	1708560	14018435	0	0	0	0	0	46135034	0	0	32002	0	0	56271	11930950	22009
BMT141D163	3896654	3342351	0	22600	1597	0	0	52437207	0	0	108284	0	0	43693	11368055	2586504
BMT141pre	8354557	8143828	0	0	3680	0	0	23404329	8503	0	610386	0	60237	11226	4676165	0
BMT142D1	88951	8200830	0	0	3644	0	0	13527895	0	0	5759174	0	725821	0	12942508	22670
BMT142D8	928395	26068546	7153	0	0	0	0	10063308	97270	0	150326	0	0	0	3073841	0
BMT142pre	7926661	151671	0	0	5477	0	0	35028971	0	0	214150	0	14551	0	9153805	0
BMT144D207	18713	27806141	16657	0	0	0	0	7605237	0	0	14884	0	0	0	13285908	23852
BMT144PRE	1530934	61431854	0	0	0	0	0	16992040	0	0	81986	0	605816	0	9214646	28144
BMT146D142	4450066	1324608	6115	0	0	0	0	63337498	15729	0	16800	0	165543	12721	15819583	29987
BMT146D2	645703	877906	0	0	0	0	0	24106657	0	0	71122	0	0	7284	5496422	0
BMT146D42	119931	243096	0	0	0	0	0	23056529	0	0	0	0	0	0	8860915	0
BMT146D52	604537	80902	0	0	0	0	0	9787539	0	0	0	0	0	0	1833771	0
BMT146D57	1607133	1292318	0	0	0	0	0	41212410	0	0	11465	0	0	0	9246241	10437
BMT146D69	2620069	746960	0	0	0	0	0	62323820	0	0	87794	0	0	0	14190454	29193
BMT146pre	667949	2693255	0	0	0	0	0	22486795	0	0	0	0	0	11892	4745295	0
BMT148D67	1474752	36410356	0	0	3315	0	0	14519494	0	0	264593	0	13630	7622	9818249	7366695
BMT148PRE	5011264	18986497	0	0	3707	0	0	58011120	0	0	89342	0	40141	80370	23242625	1093648
