SampleID	Actinomycetota	Bacteroidota	Campylobacterota	Candidatus_Melainabacteria	Candidatus_Saccharibacteria	Chloroflexota	Firmicutes	Fusobacteriota	Mycoplasmatota	Pseudomonadota	Synergistota	Thermodesulfobacteriota	Unclassified	UNCLASSIFIED	Verrucomicrobiota
D20236D34	52606	125764	0	0	0	0	56693688	0	4973	61082	0	0	0	-1597170	14375
D20236D43	69732	143753	0	0	0	0	36278615	0	0	20391	0	0	0	16517364	16138
D20236D56	230038	50346	0	0	0	0	43327344	0	0	45576	0	0	0	14370129	12148
D20236D68	188020	116635	0	0	0	0	39103911	0	4851	15500	0	0	0	11771818	8774
D20236D8	227810	33249593	0	0	16716	0	22314990	0	4345	0	0	0	0	5981878	14525
D20236D99	51745	58614	0	0	0	0	26752784	0	0	0	0	0	0	11522701	0
D20236PRE	1682588	15312486	0	0	0	0	31117390	0	0	227841	0	0	16471	9838966	10246
D20248D1	273782	180416	0	0	0	0	49671086	0	0	0	0	0	0	1426413	14443
D20248D14	58705	49187619	0	0	0	0	6222970	0	0	20363	0	0	0	1605068	0
D20248D194	5008667	3688778	9221	0	0	0	42621570	9793	0	855540	0	0	0	6756730	16696
D20248D21	2792431	5651019	0	0	2849	0	48455354	0	0	59380	0	0	0	11638337	11246
D20248D28	43526	10968888	0	0	0	0	28341264	11893	4247	0	0	0	0	5002605	0
D20248D54	164456	4654952	17787	0	0	0	43519043	104023	0	697952	0	0	0	6198649	0
D20248D8	128269	14521451	0	0	0	0	28543949	0	0	0	0	0	0	6029859	15435
D20248PRE	243666	14393397	0	0	0	0	28155329	0	0	708118	0	43405	0	2915361	14113
D20622D-1	189213	15169	0	0	0	0	40197431	0	0	761108	0	0	0	8928750	11441
D20622D11	1658865	9725983	18924	0	2068	0	21653198	0	0	59755	0	0	14686	6382230	10284
