SampleID	Actinomycetota	Bacteroidota	Campylobacterota	Candidatus_Melainabacteria	Candidatus_Saccharibacteria	Chloroflexota	Firmicutes	Fusobacteriota	Mycoplasmatota	Pseudomonadota	Synergistota	Thermodesulfobacteriota	Unclassified	UNCLASSIFIED	Verrucomicrobiota
D20248D21	4.66525786126334	7.41192647570982	0	0	0.0048244566262165	0	70.9004055642528	0	0	0.0529278597857217	0	0	0	16.96288	0.0017769943511365
D20248D28	0.0132112819266146	13.4819135729045	0	0	0	0	75.228189058501	0.0017745173843673	0.0007807876491216	0	0	0	0	11.27413	0
D20248D54	0.323365000021497	5.84125207555172	0.0395703421787167	0	0	0	81.6208550121542	0.251044338732568	0	0.726296935842209	0	0	0	11.19762	0
D20248D8	0.302092756340137	18.6138016820639	0	0	0	0	68.8114471102797	0	0	0	0	0	0	12.24611	0.0265367754588982
D20248PRE	0.536445433876148	20.7755798582023	0	0	0	0	71.0385721809563	0	0	1.26751460208336	0	0.083538711490139	0	6.27318	0.0251750228949302
D20622D11	6.09436647285066	16.961281373271	0.0628981961978792	0	0.0041255715943682	0	60.6406867755641	0	0	0.0529364501529411	0	0	0.0362832282293325	16.14692	0.000503118487118
D20622D14	0.152594444517898	0.0280986288551332	0	0	0	0	84.1489253393919	0	0	0	0	0	0	15.67038	0
D20622D167	0.0060497147754102	0.0111371774215947	0	0	0	0	89.0787267341734	0	0	0	0	0	0	10.90258	0.0015057463873996
D20622D-1	0.268093369435016	0.0004519858786416	0	0	0	0	81.1207408239612	0	0	0.781656160597769	0	0	0	17.82075	0.0083083222419397
D20622D20	0.31208401762663	0.0983696829351736	0	0	0	0	74.2268262898506	0	0.0274751035164366	0	0	0	0	25.3191	0.0161534789089569
D20622D25	0.0618414805274352	0.0600431569618616	0	0	0	0	2.56106817144844	0	0	49.442367932326	0	0	0	47.87468	0
D20622D276	0.0017339629434337	0.0178506921966124	0	0	0	0	91.2283991450296	0	0.0041706371849958	0	0	0	0	8.73879	0.009053111788875
D20622D28	7.10672874351237	0.0027332801165271	0	0	0	0	69.3898278729424	0	0	14.6100473209991	0	0	0	8.89066	0
D20622D32	0.0243164811510423	12.5695241839658	0	0	0	0	79.4131441465903	0	0	1.58921027100806	0	0	0	6.40307	0.0007206963235682
D20622D64	0.553943818614631	0.003786563808749	0.0057973597623606	0	0	0	67.5151203848025	0	0	18.9656359300878	0	0	0	12.95256	0.0031598222128181
D20622D7	0.0240935348743129	0.0247202208429242	0	0	0	0	84.6306796001737	0	0	0	0	0	0	15.31271	0.007799699690419
D20622D90	9.89743532182717	0.0329089202758358	0	0	0	0	77.3494326518575	0	0	6.71832646474351	0	0	0	6.00137	0.0005169924636306
D20622PRE	1.12446418062204	0.0214362879817338	0	0	0	0	73.8478495713462	0	0	0.222164114709334	0	0	0	14.46014	10.3239506712092
